Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
contracts/contract_142.sol,-,-,-,-,-,-,-,"Mythril, Slither",-
contracts/contract_143.sol,Slither,Oyente,-,-,-,-,Slither,-,-
contracts/contract_145.sol,Slither,"Mythril, Oyente",-,-,Osiris,-,Slither,"Mythril, Oyente, Slither",-
contracts/contract_146.sol,Osiris,-,-,-,-,-,-,-,Slither
contracts/contract_147.sol,Mythril,-,Mythril,-,-,-,-,"Mythril, Slither",-
contracts/contract_148.sol,"Mythril, Slither","Osiris, Oyente",-,-,-,-,-,Mythril,-
contracts/contract_149.sol,"Mythril, Osiris, Slither","Mythril, Oyente",-,-,Oyente,-,"Mythril, Slither","Mythril, Slither",-
contracts/contract_150.sol,-,Osiris,-,-,-,-,-,-,-
contracts/contract_151.sol,"Mythril, Slither",-,-,-,-,-,-,-,-
contracts/contract_152.sol,"Mythril, Slither",-,-,-,-,-,-,"Mythril, Slither",-
contracts/contract_154.sol,-,Oyente,-,-,-,-,-,-,Slither
contracts/contract_155.sol,"Mythril, Slither",-,Mythril,Mythril,-,-,Slither,-,-
contracts/contract_156.sol,Mythril,-,Mythril,-,-,-,-,-,-
contracts/contract_157.sol,Slither,"Mythril, Osiris, Oyente",-,-,-,-,-,-,-
contracts/contract_158.sol,-,-,-,-,-,Mythril,-,-,-
contracts/contract_159.sol,"Mythril, Slither","Osiris, Oyente",Mythril,-,-,-,"Mythril, Slither",Mythril,-
contracts/contract_160.sol,-,"Osiris, Oyente",-,-,-,-,-,"Mythril, Slither",-
contracts/contract_161.sol,"Mythril, Slither","Osiris, Oyente",-,-,-,-,-,-,-
contracts/contract_162.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,Mythril,-
contracts/contract_163.sol,-,-,-,-,-,-,-,Slither,-
contracts/contract_164.sol,Slither,"Osiris, Oyente",-,Mythril,-,-,-,"Mythril, Oyente, Slither",-
contracts/contract_165.sol,Mythril,-,-,-,-,-,-,-,-
contracts/contract_166.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_167.sol,Slither,-,-,-,"Osiris, Oyente",-,Slither,"Mythril, Slither",Mythril
contracts/contract_169.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Oyente, Slither",-
contracts/contract_170.sol,Slither,"Osiris, Oyente",-,-,-,-,-,Mythril,-
contracts/contract_171.sol,-,"Osiris, Oyente",-,-,-,-,-,Slither,-
contracts/contract_172.sol,-,-,-,-,-,-,-,-,Slither
contracts/contract_173.sol,Slither,"Osiris, Oyente",-,-,-,-,Slither,"Mythril, Oyente, Slither",-
contracts/contract_174.sol,"Mythril, Slither",-,-,-,-,-,-,Mythril,-
contracts/contract_175.sol,Mythril,Oyente,-,-,-,-,-,-,-
contracts/contract_177.sol,Osiris,-,-,-,-,-,-,-,Slither
contracts/contract_179.sol,-,"Osiris, Oyente",-,Mythril,-,-,-,-,-
contracts/contract_180.sol,"Mythril, Slither",Oyente,-,-,-,-,-,"Mythril, Slither",-
contracts/contract_181.sol,"Mythril, Slither","Osiris, Oyente",-,-,-,-,-,-,Slither
contracts/contract_182.sol,"Mythril, Slither",Oyente,-,-,-,-,Mythril,"Mythril, Slither",-
contracts/contract_183.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/contract_184.sol,"Mythril, Slither","Osiris, Oyente",Mythril,Mythril,-,-,Slither,"Mythril, Oyente, Slither",-
contracts/contract_185.sol,Mythril,Oyente,-,-,-,-,-,"Mythril, Slither",-
contracts/contract_186.sol,Slither,-,-,-,-,-,-,Slither,-
contracts/contract_187.sol,"Mythril, Slither","Mythril, Osiris",-,Mythril,-,-,Slither,"Mythril, Slither",-
contracts/contract_188.sol,Slither,-,-,-,-,-,-,Slither,-
contracts/contract_189.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_190.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/contract_191.sol,-,Oyente,-,-,-,-,-,-,-
contracts/contract_192.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/contract_193.sol,"Mythril, Slither",-,-,-,-,-,-,-,-
contracts/contract_194.sol,-,Oyente,-,-,-,-,-,-,-
contracts/contract_195.sol,Slither,Osiris,-,Mythril,-,-,-,"Mythril, Slither",-
contracts/contract_196.sol,Slither,-,Mythril,-,-,-,Slither,-,-
contracts/contract_197.sol,Slither,Osiris,-,-,Osiris,-,-,Slither,-
contracts/contract_198.sol,"Mythril, Osiris, Slither",Oyente,-,-,-,-,-,-,-
contracts/contract_199.sol,-,Oyente,-,-,-,-,Oyente,-,-
contracts/contract_200.sol,Slither,Oyente,-,-,-,-,-,"Mythril, Oyente, Slither",-
